Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-10-02,One Battle After Another,2025,https://boxd.it/beDfsV,4.5,,"“Semen Demon” wins joke of the year, Sean Penn wins best weirdo of the year (sorry Aunt Gladys)",,2025-10-01
2025-10-03,Serpico,1973,https://boxd.it/bfd5ij,4,,"I was excited to see what hat Pacino was gonna pull up in every scene. Can’t believe I waited until this year to watch Lumet’s movies, he’s so goooood",,2025-10-02
2025-10-03,Klute,1971,https://boxd.it/bfs5wl,2,,"This was nominated for best screenplay? Romance is forced, mystery is never satisfying, and it’s filmed like a horror movie for some reason.",,2025-10-03
2025-10-06,Duck Soup,1933,https://boxd.it/bhwrzx,3,,The “Dugan only watches ancient movies” propaganda gonna love this one,,2025-10-05
2025-10-07,Trick 'r Treat,2007,https://boxd.it/bi436z,3.5,Yes,"One of the greatest movie costumes ever created, idk how more kids don’t dress up as Sam",,2025-10-06
2025-10-08,The Night Evelyn Came Out of the Grave,1971,https://boxd.it/biJB0R,0.5,,Filmed on a microwave with the budget to buy one light. A good alternative to melatonin,,2025-10-07
2025-10-09,The Texas Chain Saw Massacre,1974,https://boxd.it/bjmzIl,3.5,,"Can I get a hell yeah for Franklin getting sawed in half, I audibly clapped during it. Murdering Psychopath > annoying ass Franklin",,2025-10-09
2025-10-11,You're Next,2011,https://boxd.it/bk91Qt,3.5,,"I’m been itching for some good, bloody kills. Made a bit wonky but a fun time",,2025-10-10
2025-10-12,Scream,1996,https://boxd.it/bl9JqN,4,,I know this came out in ‘96 but the poster is Lucy Hale from Pretty Little Liars and I will never be able to unsee it. Also Matthew Lillard should have at least 2 Oscars by now,profile,2025-10-11
2025-10-14,The Descent,2005,https://boxd.it/bmklun,3.5,,"These women were actually pretty smart during the movie, except for being stupid enough to  choose to cave dive for VACATION. Never heard of a cold beer in a hot tub?",,2025-10-13
2025-10-14,Over the Garden Wall,2014,https://boxd.it/bmzxWt,4,,"I need more of the pumpkin cult, just a chill town looking to have a good time. Also all my homies hate those girls for hating on Greg’s elephant costume",,2025-10-13
2025-10-14,The Stepford Wives,1975,https://boxd.it/bmHKn3,2,,"Good message, good premise, BORING. Slow burn with no scenes that hit hard or are memorable enough to remember a week from now",,2025-10-13
2025-10-15,The Fly,1986,https://boxd.it/bnkNhF,4.5,,"If anybody got recommendations for gross movies with fantastic effects please let me know, I can’t get enough. Also how’s he getting all these baboons? He’s buying them like they’re goldfish",,2025-10-15
2025-10-16,The Substance,2024,https://boxd.it/bnPh7Z,3.5,,"What da hell, thought watching the Fly would prepare me but it did not. Love to see the return of practical effects like this though😌",,2025-10-15
2025-10-16,Death of a Unicorn,2025,https://boxd.it/bnVJ3t,1.5,,"Paul Rudd’s character is the worst “flawed” dad in a movie since Chicken Little. However, somehow the biggest sin is how you get NoHo Hank in your movie and waste him",,2025-10-16
2025-10-17,Midsommar,2019,https://boxd.it/boeG5T,3.5,,"Looks fantastic. Should be more bright horror movies, but can definitely see them falling flat easily.",,2025-10-16
2025-10-19,Manhunter,1986,https://boxd.it/bpVOe5,4,,Perfect first half. Was convinced this was gonna be perfect going into the 3rd act but it couldn’t deliver. Another reason to love Brian Cox though,,2025-10-19
2025-10-21,It's What's Inside,2024,https://boxd.it/bqVoAD,3.5,,Convinced this would be fun if it wasn’t with these psychopaths,,2025-10-20
2025-10-22,Bram Stoker's Dracula,1992,https://boxd.it/brA6ln,2.5,,Idk if Van Helsing is that good of a role or if Anthony Hopkins and Willem Dafoe are just that good,,2025-10-21
2025-10-22,Scary Godmother: Halloween Spooktakular,2003,https://boxd.it/brXYAn,3.5,Yes,"Greatest animated Bowling cutscene ever created. Justice for Skully, made good looking food for greedy-ass Harry to ruin",,2025-10-21
2025-10-23,Children Shouldn't Play with Dead Things,1972,https://boxd.it/bszfIR,1,,"Description says “Soon the dead are walking about”. Letterboxd is confused, this happens 55 minutes in of an 87 minute movie",,2025-10-23
2025-10-24,Alien,1979,https://boxd.it/btb1Ul,4.5,,"Top 5 greatest looking movies of all time. Production design peaked here and maybe will never look this good again. Atmospheric, perfect tension, what a movie. (The slightly lame kills keep this from 5 stars but it close)",,2025-10-24
2025-10-25,Braindead,1992,https://boxd.it/btIbid,3,,"Turns the quality on its head in the second half, from 2 stars to 4 stars once the animal energizers show up. Didn’t know gore could be so creative",,2025-10-24
2025-10-28,Halloween,1978,https://boxd.it/bwdE7t,3.5,,"Music is banging, caught myself head bobbing during multiple kill scenes. Also that shot where he comes out of the door shadow, chef kiss",,2025-10-28
2025-10-29,Don't Look in the Basement,1973,https://boxd.it/bwQHvr,1,,Eyes were feeling real heavy after only 15 minutes. Also this movie hates people with disabilities so that sucks,,2025-10-28
2025-10-30,Halloweentown,1998,https://boxd.it/bx82ix,2.5,,"There was not a single monster looking excited to join the mayor’s evil plan, how’d this guy get elected?",,2025-10-29
2025-10-30,Hocus Pocus,1993,https://boxd.it/bxdM55,4,,"I am so sorry Bette Midler, I was not familiar with your game",,2025-10-29
